TENGOO TG20 Original Écouteurs Bluetooth V5.1+EDR Écouteurs sans fil,152.10 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/757804/1.jpg?2044
Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,98.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/310504/1.jpg?7504
"Samsung Galaxy A02 6.5"" (3Go, 32Go) 13MP+2MP/5MP Android - Bleu",999.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/527693/1.jpg?7720
Écouteurs Bluetooth T WS + iOS montre intelligente sport étanche ensemble abordable,193.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/527693/1.jpg?8405
"Huawei Nova 7i 6.4"" (128Go, 8Go) 48MP+ 8MP+ 2MP+ 2MP/16MP Android - Rose Sakura","2,749.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/905193/1.jpg?7007
montre intelligente Y68 Bracelet de fitness smart bracelet,108.99 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/328673/1.jpg?8191
Montre intelligente iOS montre à écran tactile complet -- pour Android et iOS,152.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/956693/1.jpg?4350
"XIAOMI Redmi Note 10 6,43"" (4Go, 128Go) 48MP+8MP+2MP+2MP/13MP Android - Vert +Kit+ Band","2,390.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/585804/1.jpg?7726
name,price,img
Samsung Galaxy Tab A 8.0 / P350 9.7 / P550 Touch Stylus(White),335.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/840193/1.jpg?0580
"Accent Tank P18 Gsm 2in1 5000 mAh 1.8"" Caméra, radio FM, torche-LED - Noir",169.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/466223/1.jpg?3136
Replacement Wrist Strap for Xiaomi Mi Band 5,41.10 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/348783/1.jpg?8547
Astro Lighting Ring Light 26cm Avec Support Téléphone 3 Modes de Lumiere - Pour Photo Video Live Youtube instagram Facebook + Crochet,99.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/513573/1.jpg?6191
TWS F9-5 Bluetooth écouteurs sans fil avec powerbank,135.90 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/251883/1.jpg?5937
"Apple iPhone 12 Mini 64GB Bleu Blue 5,4"" 5G Magsafe A14 Bionic 4Gb RAM iOS Garantie an","7,379.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/532414/1.jpg?1850
écouteurs A6S Stereo Headphone Wireless Headset Bluetooth 5.0 Earphone  Touch Control sans fil  avec pour IOS Et Android,99.99 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/123343/1.jpg?7824
Smart bracelet sport - Noir,109.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/174823/1.jpg?7202
Lenovo LP1S Bluetooth 5.0 Headset Headphone Stereo,125.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/706973/1.jpg?9506
115Plus Smartwatch Bracelet Heart Rate Monitor,70.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/425223/1.jpg?0032
Edifier TWS200 Plus Écouteurs Bluetooth V5.2 Qualcomm aptX Adaptive Dual Mic Annulation du bruit Écouteur sans fil AAC Type-C,368.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/445204/1.jpg?4898
"Samsung Galaxy A21s Blue 4GB RAM / 64G Storage 6,5"" 5,000mAh","1,620.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/911693/1.jpg?0266
TWS Écouteurs sans fil A10S   avec affichage de charge+ powerbank intégré,121.54 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/138783/1.jpg?7454
Infinix HOT 10 PLAY X688B 64+4 Morandi Green,"1,298.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/532514/1.jpg?3171
